Episode,PPO mean,PPO std,Double DQN mean,Double DQN std,DQN mean,DQN std,Q-learning mean,Q-learning std
1925,13.82,2.7578,8.5267,0.133,7.8967,0.5441,9.8667,0.033
1950,14.7233,3.0177,8.48,0.1849,8.0133,0.5149,9.69,0.3689
1975,13.9833,1.3856,8.53,0.2255,8.2333,0.358,9.4833,0.5191
2000,13.66,1.7642,8.09,0.1631,7.99,0.2412,9.5033,0.2546
2025,13.66,1.7715,8.1,0.562,7.7433,0.5911,9.3333,0.2007
2050,13.26,0.9444,8.2333,0.6327,7.76,0.5375,9.6933,0.1452
2075,13.74,0.2209,8.2733,0.6914,7.7267,0.5258,9.82,0.1143
2100,13.6667,0.4465,8.47,0.5238,7.8067,0.82,9.82,0.1838
2125,14.1233,0.2472,8.5233,0.224,7.75,0.7201,9.8133,0.2104
2150,14.4,0.3861,8.4633,0.0618,7.4567,0.6834,9.6767,0.0981
2175,14.04,0.4627,8.7967,0.1511,7.6267,0.8574,9.9,0.3774
2200,14.0033,0.3029,8.39,0.3278,7.27,0.4753,9.8333,0.3148
2225,14.19,0.8841,8.4433,0.49,7.29,0.3476,10.11,0.6375
2250,13.7667,0.9389,8.55,0.2808,7.1333,0.3288,9.8333,0.7798
2275,14.1133,1.1244,8.45,0.3348,7.1933,0.4045,10.0,0.5224
2300,13.8967,0.8585,8.7267,0.3616,7.3,0.6436,9.7933,0.7466
2325,13.3733,0.782,8.7767,0.5546,7.32,0.7479,9.6933,0.6425
2350,13.5533,1.6393,8.6867,0.3675,7.5,0.6643,9.5467,0.5282
2375,14.24,2.1202,8.66,0.7094,7.5567,0.312,9.1667,0.6482
2400,15.69,2.1675,8.61,0.2794,7.3167,0.321,9.4967,0.6422
2425,16.0067,1.1109,8.4667,0.325,7.31,0.2531,9.4,0.5803
2450,16.62,0.787,8.29,0.3716,7.43,0.3326,9.5667,0.2671
2475,15.0333,1.325,7.8033,0.6726,6.9733,0.1226,9.2667,0.245
2500,12.9667,1.0793,7.6533,0.4241,7.11,0.1982,9.2433,0.2684
2525,13.16,0.8727,7.3367,0.2603,7.08,0.4668,9.1467,0.2752
2550,13.1767,2.1279,7.72,0.4315,7.0533,0.3068,9.3133,0.5618
2575,14.3167,1.5296,8.3067,0.8008,7.5667,0.4252,9.3867,0.4151
2600,15.4167,1.9259,8.5067,0.7889,7.7367,0.6127,9.3967,0.9882
2625,15.0967,2.3677,8.8767,0.7052,7.9,0.3742,9.5433,0.5676
2650,14.8933,2.2707,8.64,0.4901,7.6633,0.3997,9.5667,0.2398
2675,14.5533,2.5516,8.3333,0.2191,7.5567,0.3337,9.6633,0.7281
