Episode,PPO mean,PPO std,Double DQN mean,Double DQN std,DQN mean,DQN std,Q-learning mean,Q-learning std
1925,10.67,1.5434,8.0833,0.3103,7.27,0.4786,9.55,0.4962
1950,10.7167,1.0387,7.9067,0.1223,7.2367,0.5258,9.7367,0.5562
1975,10.4933,1.0706,7.8533,0.0818,6.94,0.3238,9.5933,0.4439
2000,10.14,0.7022,7.8,0.7915,6.88,0.2655,9.3233,0.6159
2025,9.4833,1.0067,7.66,0.8176,6.8367,0.406,9.39,0.5305
2050,9.5,1.5735,8.26,0.3658,7.1067,0.7428,9.0433,0.0946
2075,9.4167,1.8189,8.35,0.1268,7.1267,0.7681,9.0967,0.3389
2100,9.64,2.6651,8.0667,0.5696,6.8867,0.8448,9.3633,0.4666
2125,9.7533,2.0615,8.2,0.3785,7.0067,0.3728,9.5133,0.538
2150,9.61,1.735,8.2467,0.2295,6.6633,0.1837,9.73,0.5133
2175,9.97,1.9093,8.6967,0.0531,6.9867,0.2585,9.78,0.3473
2200,9.8667,1.7206,8.58,0.3021,7.0,0.4092,9.5467,0.5068
2225,10.53,2.4005,8.51,0.3514,6.9,0.2165,9.6467,0.6762
2250,10.8533,2.7981,8.39,0.7474,7.13,0.2596,9.1833,0.1926
2275,10.9,2.8097,8.0533,0.5485,7.12,0.6506,9.3333,0.2623
2300,11.07,2.7387,8.0067,0.5216,7.0,0.6372,9.5733,0.3757
2325,10.65,2.8356,7.8167,0.3549,6.9967,0.8863,9.4,0.5349
2350,10.57,2.7028,7.6267,0.4481,6.94,0.7399,9.8067,0.621
2375,10.5167,2.426,7.7867,0.4348,6.7333,0.4602,9.6233,0.6754
2400,10.2467,2.5534,7.88,0.7142,6.8967,0.6468,9.5,0.5731
2425,10.1267,1.8418,8.05,0.9123,7.02,0.3672,9.49,0.682
2450,10.0,1.3681,7.9933,0.9499,7.0,0.1846,9.45,0.4243
2475,9.59,1.3991,7.4833,0.4078,7.0167,0.1482,9.3733,0.454
2500,9.27,0.8954,7.3667,0.3492,7.1967,0.291,9.19,0.3389
2525,9.32,1.5385,7.2533,0.1797,6.8333,0.2788,9.0867,0.3087
2550,8.95,1.6121,7.32,0.0356,6.8667,0.33,9.16,0.1349
2575,8.7767,1.2243,7.8933,0.5342,7.1167,0.6432,9.4133,0.7625
2600,8.7567,1.4817,7.9633,0.4943,7.0267,0.25,9.5367,0.5358
2625,8.4367,0.8533,8.0467,0.6127,7.3067,0.1159,9.57,0.3278
2650,8.54,0.5931,7.9733,0.8536,7.2767,0.2014,9.5933,0.3167
2675,8.6067,0.6588,7.7833,0.3941,7.08,0.0616,9.6967,0.9198
2700,8.9467,1.0382,7.8533,0.2015,6.8933,0.1528,9.6833,1.0459
2725,9.04,0.8981,7.9633,0.1541,7.2567,0.446,9.89,0.8345
2750,8.8933,1.0435,8.4867,0.1438,7.3433,0.557,10.02,0.6874
2775,8.96,1.6714,8.1133,0.1569,7.3933,0.5473,9.6167,0.119
2800,8.78,1.5956,8.3833,0.4892,7.67,0.4758,9.6533,0.217
2825,8.8033,1.8225,8.5433,0.4739,7.5533,0.2458,9.8767,0.5731
2850,8.9067,1.9041,8.18,0.3864,7.5767,0.3325,9.6367,1.0137
2875,8.9567,1.3659,8.5033,0.1592,7.55,0.5189,9.8367,0.6836
2900,8.9267,1.0547,8.33,0.279,7.6067,0.4434,10.07,0.6227
2925,8.63,0.8829,8.0033,0.3672,7.27,0.0698,9.65,0.1871
2950,8.76,0.9556,8.0767,0.5899,7.1633,0.0579,9.6967,0.5624
