Episode,PPO mean,PPO std,Double DQN mean,Double DQN std,DQN mean,DQN std,Q-learning mean,Q-learning std
1925,0.3533,0.0754,0.0967,0.0368,0.0467,0.0249,0.0033,0.0047
1950,0.3467,0.0519,0.1033,0.033,0.0467,0.0125,0.0033,0.0047
1975,0.3633,0.0573,0.1033,0.0125,0.0567,0.0047,0.0133,0.0047
2000,0.3633,0.033,0.12,0.0216,0.0633,0.0125,0.0167,0.0047
2025,0.3733,0.017,0.12,0.0141,0.0767,0.0094,0.02,0.0
2050,0.3633,0.0094,0.1133,0.034,0.08,0.0163,0.02,0.0082
2075,0.3267,0.0125,0.09,0.0294,0.0867,0.0262,0.0267,0.0125
2100,0.3433,0.034,0.0933,0.033,0.0767,0.0249,0.0267,0.0125
2125,0.3533,0.0309,0.1067,0.0262,0.0767,0.0249,0.0233,0.0094
2150,0.3833,0.0464,0.0933,0.0249,0.07,0.0082,0.0233,0.017
2175,0.3833,0.0492,0.1,0.0327,0.0533,0.0125,0.0067,0.0094
2200,0.39,0.0294,0.0967,0.0205,0.0633,0.0047,0.0033,0.0047
2225,0.3967,0.0556,0.0933,0.0125,0.0667,0.0125,0.0133,0.0125
2250,0.3633,0.0525,0.1167,0.017,0.0733,0.0047,0.0133,0.0125
2275,0.3733,0.0403,0.12,0.0163,0.09,0.0082,0.0167,0.017
2300,0.3667,0.045,0.1267,0.0125,0.11,0.0163,0.0267,0.0236
2325,0.35,0.0327,0.1467,0.0125,0.1,0.0216,0.02,0.0163
2350,0.35,0.0216,0.1233,0.0205,0.09,0.0216,0.0167,0.0125
2375,0.3467,0.0189,0.1433,0.033,0.0933,0.0047,0.0133,0.0094
2400,0.34,0.0432,0.13,0.0245,0.07,0.0082,0.0067,0.0047
2425,0.32,0.0535,0.1067,0.0125,0.0867,0.0047,0.0033,0.0047
2450,0.3267,0.0478,0.13,0.0216,0.1,0.0216,0.0033,0.0047
2475,0.3333,0.0419,0.11,0.0082,0.0833,0.0189,0.0067,0.0047
2500,0.33,0.0327,0.1067,0.0125,0.0867,0.0125,0.0067,0.0094
2525,0.3633,0.017,0.1167,0.0262,0.07,0.0141,0.0133,0.0047
2550,0.36,0.0082,0.0967,0.0125,0.0633,0.0047,0.0133,0.0047
2575,0.34,0.0245,0.1067,0.0249,0.0767,0.0236,0.0133,0.0047
2600,0.3367,0.0205,0.1067,0.0249,0.0667,0.0047,0.02,0.0
2625,0.3467,0.0189,0.0933,0.0419,0.06,0.0,0.0133,0.0047
2650,0.35,0.049,0.09,0.0327,0.07,0.0163,0.0133,0.0047
